LOT#,WAFER#,SITE#,DATE,TIME,PCM1,PCM2,PCM3,PCM4,PCM5,PCM6,PCM7,PCM8,PCM9,PCM10,PCM11,PCM12,PCM13,PCM14,PCM15,PCM16,PCM17,PCM18,PCM19,PCM20,PCM21,PCM22,PCM23,PCM24,PCM25,PCM26,PCM27,PCM28,PCM29,PCM30,PCM31,PCM32,PCM33,PCM34,PCM35,PCM36,PCM37,PCM38,PCM39,PCM40,PCM41,PCM42,PCM43,PCM44,PCM45,PCM46,PCM47,PCM48,PCM49,PCM50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU456,3,1,7/11/24,18:00:00,7.97E-03,62.768,4.51E-03,110.827,2.41E-03,207.203,1.65E-03,303.142,1.25E-03,398.963,1.01E-03,494.736,1056.005,14.939,-1.556,0.778,6.39E-06,-1.37E-03,1463.915,-9.63E-04,2076.339,-6.27E-04,3188.282,-4.66E-04,4289.967,-3.75E-04,5329.312,-3.14E-04,6372.917,11964.18,977.019,-8.983,4.491,2.41E-03,-3.78E-04,5296.736,-2.17E-04,9210.944,-1.18E-04,16914.46,-8.13E-05,24596.43,-6.20E-05,32282.28,-5.01E-05,39956.61,84666.52,1492.441,-1.939,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU456,3,2,7/11/24,18:00:00,8.03E-03,62.278,4.51E-03,110.818,2.41E-03,207.633,1.65E-03,303.748,1.25E-03,399.971,1.01E-03,495.948,1059.907,14.482,-1.503,0.751,5.99E-06,-1.40E-03,1431.516,-9.76E-04,2049.649,-6.28E-04,3182.737,-4.70E-04,4256.75,-3.76E-04,5318.88,-3.14E-04,6370.948,12021.75,945.126,-8.648,4.324,2.25E-03,-3.79E-04,5271.912,-2.19E-04,9134.84,-1.19E-04,16791.91,-8.19E-05,24426.62,-6.23E-05,32089.18,-5.03E-05,39780.49,84285.97,1454.726,-1.899,0.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU456,3,3,7/11/24,18:00:00,7.82E-03,63.907,4.47E-03,111.81,2.41E-03,207.935,1.65E-03,304.035,1.25E-03,400.058,1.01E-03,496.248,1056.889,15.79,-1.643,0.822,7.14E-06,-1.40E-03,1424.867,-9.82E-04,2036.857,-6.31E-04,3170.461,-4.70E-04,4259.443,-3.77E-04,5306.968,-3.15E-04,6358.532,12018.49,936.997,-8.576,4.288,2.21E-03,-3.81E-04,5244.113,-2.17E-04,9211.666,-1.18E-04,16993.65,-8.08E-05,24761.88,-6.14E-05,32560.83,-4.96E-05,40330.55,85700.38,1390.509,-1.785,0.892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU456,3,4,7/11/24,18:00:00,8.22E-03,60.852,4.63E-03,108.035,2.47E-03,202.582,1.68E-03,297.485,1.27E-03,392.388,1.03E-03,486.902,1041.904,13.351,-1.41,0.705,5.18E-06,-1.44E-03,1384.706,-1.00E-03,1991.318,-6.46E-04,3094.677,-4.80E-04,4171.438,-3.83E-04,5222.014,-3.20E-04,6241.574,11845.12,902.48,-8.381,4.19,2.08E-03,-3.99E-04,5013.361,-2.27E-04,8793.953,-1.23E-04,16236.01,-8.43E-05,23733.91,-6.40E-05,31251.03,-5.15E-05,38815.66,82546.45,1254.741,-1.672,0.836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU456,3,5,7/11/24,18:00:00,8.04E-03,62.18,4.55E-03,109.883,2.43E-03,206.038,1.66E-03,302.04,1.26E-03,397.766,1.01E-03,493.705,1055.103,14.146,-1.475,0.737,5.74E-06,-1.42E-03,1410.387,-9.90E-04,2020.941,-6.36E-04,3142.944,-4.75E-04,4214.892,-3.81E-04,5256.297,-3.17E-04,6308.571,11917.48,926.869,-8.555,4.278,2.18E-03,-3.89E-04,5137.558,-2.24E-04,8945.864,-1.22E-04,16425.22,-8.35E-05,23962.11,-6.34E-05,31527.19,-5.11E-05,39110.09,82971.89,1365.514,-1.81,0.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU456,4,1,7/11/24,18:18:26,7.70E-03,64.964,4.39E-03,113.919,2.35E-03,212.598,1.61E-03,310.795,1.22E-03,408.934,9.87E-04,506.854,1080.584,15.904,-1.619,0.809,7.08E-06,-1.34E-03,1497.028,-9.43E-04,2120.418,-6.08E-04,3287.646,-4.57E-04,4376.952,-3.65E-04,5473.828,-3.05E-04,6555.314,12314.97,993.046,-8.87,4.435,2.42E-03,-3.73E-04,5357.521,-2.15E-04,9290.399,-1.18E-04,16996.54,-8.10E-05,24702.61,-6.17E-05,32405.67,-4.99E-05,40101.54,84861.07,1546.21,-2.004,1.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU456,4,2,7/11/24,18:18:26,7.73E-03,64.679,4.39E-03,113.808,2.35E-03,212.597,1.61E-03,311.139,1.22E-03,409.423,9.86E-04,507.354,1082.62,15.581,-1.583,0.792,6.78E-06,-1.38E-03,1453.087,-9.63E-04,2076.352,-6.19E-04,3232.678,-4.62E-04,4333.216,-3.68E-04,5429.928,-3.08E-04,6489.966,12282.47,951.353,-8.52,4.26,2.23E-03,-3.75E-04,5329.737,-2.18E-04,9169.77,-1.19E-04,16748.04,-8.22E-05,24336.85,-6.26E-05,31937.71,-5.05E-05,39610.55,83697.93,1532.436,-2.014,1.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU456,4,3,7/11/24,18:18:26,7.61E-03,65.735,4.35E-03,114.92,2.34E-03,213.27,1.61E-03,311.189,1.22E-03,409.477,9.85E-04,507.615,1079.997,16.732,-1.704,0.852,7.84E-06,-1.38E-03,1453.51,-9.60E-04,2082.782,-6.18E-04,3234.388,-4.62E-04,4332.699,-3.69E-04,5426.393,-3.09E-04,6474.042,12242.13,958.924,-8.616,4.308,2.27E-03,-3.77E-04,5300.864,-2.16E-04,9248.256,-1.18E-04,16993.22,-8.09E-05,24709.94,-6.16E-05,32451.89,-4.98E-05,40204.07,85224.98,1469.746,-1.897,0.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU456,4,4,7/11/24,18:18:26,8.04E-03,62.219,4.50E-03,111.01,2.41E-03,207.717,1.64E-03,304.336,1.25E-03,401.458,1.00E-03,498.301,1065.555,13.929,-1.438,0.719,5.51E-06,-1.39E-03,1434.257,-9.72E-04,2057.888,-6.24E-04,3203.624,-4.66E-04,4291.809,-3.73E-04,5365.44,-3.12E-04,6418.423,12140.62,944.033,-8.553,4.277,2.22E-03,-3.89E-04,5136.45,-2.25E-04,8897.47,-1.23E-04,16302.04,-8.42E-05,23746.4,-6.41E-05,31202.17,-5.16E-05,38732.22,82022.39,1406.619,-1.886,0.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU456,4,5,7/11/24,18:18:26,7.74E-03,64.576,4.41E-03,113.312,2.36E-03,211.705,1.61E-03,309.724,1.23E-03,407.634,9.90E-04,505.073,1077.473,15.628,-1.595,0.798,6.86E-06,-1.38E-03,1448.478,-9.73E-04,2055.116,-6.22E-04,3213.641,-4.65E-04,4302.139,-3.72E-04,5380.987,-3.11E-04,6440.871,12176.43,947.258,-8.557,4.279,2.23E-03,-3.87E-04,5169.441,-2.22E-04,8994.222,-1.21E-04,16510.1,-8.32E-05,24048.17,-6.31E-05,31711.45,-5.09E-05,39318.22,83411.19,1369.619,-1.806,0.903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU456,5,1,7/11/24,18:36:50,7.78E-03,64.259,4.41E-03,113.469,2.36E-03,212.077,1.61E-03,310.349,1.23E-03,408.3,9.87E-04,506.579,1081.118,15.273,-1.554,0.777,6.53E-06,-1.35E-03,1484.682,-9.47E-04,2112.753,-6.10E-04,3278.522,-4.58E-04,4363.278,-3.67E-04,5449.279,-3.08E-04,6490.936,12204.43,997.051,-8.987,4.493,2.46E-03,-3.78E-04,5286.53,-2.18E-04,9189.994,-1.19E-04,16823.97,-8.18E-05,24442.41,-6.24E-05,32065.72,-5.04E-05,39712.72,84049.41,1514.677,-1.982,0.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU456,5,2,7/11/24,18:36:50,8.01E-03,62.428,4.46E-03,112.165,2.37E-03,210.699,1.62E-03,309.173,1.23E-03,407.342,9.89E-04,505.561,1082.836,13.592,-1.381,0.69,5.16E-06,-1.37E-03,1456.282,-9.62E-04,2079.415,-6.18E-04,3237.613,-4.62E-04,4333.694,-3.69E-04,5419.32,-3.08E-04,6490.641,12262.52,956.324,-8.579,4.289,2.26E-03,-3.85E-04,5193.942,-2.23E-04,8985.978,-1.22E-04,16387.67,-8.38E-05,23863.22,-6.38E-05,31329.3,-5.15E-05,38859.78,82186.71,1468.562,-1.966,0.983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU456,5,3,7/11/24,18:36:50,7.70E-03,64.947,4.39E-03,114.014,2.35E-03,212.707,1.61E-03,310.99,1.22E-03,409.313,9.86E-04,507.328,1081.731,15.84,-1.611,0.805,7.02E-06,-1.37E-03,1460.718,-9.55E-04,2095.077,-6.18E-04,3238.405,-4.60E-04,4343.596,-3.69E-04,5425.495,-3.08E-04,6489.271,12244.47,966.499,-8.683,4.341,2.31E-03,-3.82E-04,5241.571,-2.18E-04,9186.49,-1.18E-04,16942.98,-8.11E-05,24647.48,-6.18E-05,32376.5,-4.99E-05,40110.14,85145.87,1421.149,-1.836,0.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UU456,5,4,7/11/24,18:36:50,8.08E-03,61.904,4.53E-03,110.498,2.41E-03,207.276,1.64E-03,304.077,1.25E-03,400.975,1.00E-03,497.83,1065.403,13.552,-1.399,0.7,5.21E-06,-1.40E-03,1431.916,-9.78E-04,2045.389,-6.30E-04,3173.979,-4.67E-04,4287.273,-3.77E-04,5306.954,-3.12E-04,6415.706,12104.93,934.045,-8.488,4.244,2.18E-03,-3.94E-04,5073.94,-2.27E-04,8814.533,-1.24E-04,16184.77,-8.48E-05,23575.9,-6.45E-05,30997.9,-5.20E-05,38479.74,81558.94,1367.135,-1.844,0.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
