,LOT#,WAFER#,SITE#,DATE,TIME,PCM1,PCM2,PCM3,PCM4,PCM5,PCM6,PCM7,PCM8,PCM9,PCM10,PCM11,PCM12,PCM13,PCM14,PCM15,PCM16,PCM17,PCM18,PCM19,PCM20,PCM21,PCM22,PCM23,PCM24,PCM25,PCM26,PCM27,PCM28,PCM29,PCM30,PCM31,PCM32,PCM33,PCM34,PCM35,PCM36,PCM37,PCM38,PCM39,PCM40,PCM41,PCM42,PCM43,PCM44,PCM45,PCM46,PCM47,PCM48,PCM49,PCM50,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255,Unnamed: 256,Unnamed: 257,Unnamed: 258,Unnamed: 259,Unnamed: 260,Unnamed: 261,Unnamed: 262,Unnamed: 263,Unnamed: 264,Unnamed: 265,Unnamed: 266,Unnamed: 267,Unnamed: 268,Unnamed: 269,Unnamed: 270,Unnamed: 271,Unnamed: 272,Unnamed: 273,Unnamed: 274,Unnamed: 275,Unnamed: 276,Unnamed: 277,Unnamed: 278,Unnamed: 279,Unnamed: 280,Unnamed: 281,Unnamed: 282,Unnamed: 283
14,UU456,3,5,7/11/24,18:00:00,0.00804,62.18,0.00455,109.883,0.00243,206.038,0.00166,302.04,0.00126,397.766,0.00101,493.705,1055.103,14.146,-1.475,0.737,5.74e-06,-0.00142,1410.387,-0.00099,2020.941,-0.000636,3142.944,-0.000475,4214.892,-0.000381,5256.297,-0.000317,6308.571,11917.48,926.869,-8.555,4.278,0.00218,-0.000389,5137.558,-0.000224,8945.864,-0.000122,16425.22,-8.35e-05,23962.11,-6.34e-05,31527.19,-5.11e-05,39110.09,82971.89,1365.514,-1.81,0.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,UU456,4,1,7/11/24,18:18:26,0.0077,64.964,0.00439,113.919,0.00235,212.598,0.00161,310.795,0.00122,408.934,0.000987,506.854,1080.584,15.904,-1.619,0.809,7.08e-06,-0.00134,1497.028,-0.000943,2120.418,-0.000608,3287.646,-0.000457,4376.952,-0.000365,5473.828,-0.000305,6555.314,12314.97,993.046,-8.87,4.435,0.00242,-0.000373,5357.521,-0.000215,9290.399,-0.000118,16996.54,-8.1e-05,24702.61,-6.17e-05,32405.67,-4.99e-05,40101.54,84861.07,1546.21,-2.004,1.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,UU456,4,2,7/11/24,18:18:26,0.00773,64.679,0.00439,113.808,0.00235,212.597,0.00161,311.139,0.00122,409.423,0.000986,507.354,1082.62,15.581,-1.583,0.792,6.78e-06,-0.00138,1453.087,-0.000963,2076.352,-0.000619,3232.678,-0.000462,4333.216,-0.000368,5429.928,-0.000308,6489.966,12282.47,951.353,-8.52,4.26,0.00223,-0.000375,5329.737,-0.000218,9169.77,-0.000119,16748.04,-8.22e-05,24336.85,-6.26e-05,31937.71,-5.05e-05,39610.55,83697.93,1532.436,-2.014,1.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,UU456,4,3,7/11/24,18:18:26,0.00761,65.735,0.00435,114.92,0.00234,213.27,0.00161,311.189,0.00122,409.477,0.000985,507.615,1079.997,16.732,-1.704,0.852,7.84e-06,-0.00138,1453.51,-0.00096,2082.782,-0.000618,3234.388,-0.000462,4332.699,-0.000369,5426.393,-0.000309,6474.042,12242.13,958.924,-8.616,4.308,0.00227,-0.000377,5300.864,-0.000216,9248.256,-0.000118,16993.22,-8.09e-05,24709.94,-6.16e-05,32451.89,-4.98e-05,40204.07,85224.98,1469.746,-1.897,0.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,UU456,4,4,7/11/24,18:18:26,0.00804,62.219,0.0045,111.01,0.00241,207.717,0.00164,304.336,0.00125,401.458,0.001,498.301,1065.555,13.929,-1.438,0.719,5.51e-06,-0.00139,1434.257,-0.000972,2057.888,-0.000624,3203.624,-0.000466,4291.809,-0.000373,5365.44,-0.000312,6418.423,12140.62,944.033,-8.553,4.277,0.00222,-0.000389,5136.45,-0.000225,8897.47,-0.000123,16302.04,-8.42e-05,23746.4,-6.41e-05,31202.17,-5.16e-05,38732.22,82022.39,1406.619,-1.886,0.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,UU456,4,5,7/11/24,18:18:26,0.00774,64.576,0.00441,113.312,0.00236,211.705,0.00161,309.724,0.00123,407.634,0.00099,505.073,1077.473,15.628,-1.595,0.798,6.86e-06,-0.00138,1448.478,-0.000973,2055.116,-0.000622,3213.641,-0.000465,4302.139,-0.000372,5380.987,-0.000311,6440.871,12176.43,947.258,-8.557,4.279,0.00223,-0.000387,5169.441,-0.000222,8994.222,-0.000121,16510.1,-8.32e-05,24048.17,-6.31e-05,31711.45,-5.09e-05,39318.22,83411.19,1369.619,-1.806,0.903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,UU456,5,1,7/11/24,18:36:50,0.00778,64.259,0.00441,113.469,0.00236,212.077,0.00161,310.349,0.00123,408.3,0.000987,506.579,1081.118,15.273,-1.554,0.777,6.53e-06,-0.00135,1484.682,-0.000947,2112.753,-0.00061,3278.522,-0.000458,4363.278,-0.000367,5449.279,-0.000308,6490.936,12204.43,997.051,-8.987,4.493,0.00246,-0.000378,5286.53,-0.000218,9189.994,-0.000119,16823.97,-8.18e-05,24442.41,-6.24e-05,32065.72,-5.04e-05,39712.72,84049.41,1514.677,-1.982,0.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,UU456,5,2,7/11/24,18:36:50,0.00801,62.428,0.00446,112.165,0.00237,210.699,0.00162,309.173,0.00123,407.342,0.000989,505.561,1082.836,13.592,-1.381,0.69,5.16e-06,-0.00137,1456.282,-0.000962,2079.415,-0.000618,3237.613,-0.000462,4333.694,-0.000369,5419.32,-0.000308,6490.641,12262.52,956.324,-8.579,4.289,0.00226,-0.000385,5193.942,-0.000223,8985.978,-0.000122,16387.67,-8.38e-05,23863.22,-6.38e-05,31329.3,-5.15e-05,38859.78,82186.71,1468.562,-1.966,0.983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,UU456,5,3,7/11/24,18:36:50,0.0077,64.947,0.00439,114.014,0.00235,212.707,0.00161,310.99,0.00122,409.313,0.000986,507.328,1081.731,15.84,-1.611,0.805,7.02e-06,-0.00137,1460.718,-0.000955,2095.077,-0.000618,3238.405,-0.00046,4343.596,-0.000369,5425.495,-0.000308,6489.271,12244.47,966.499,-8.683,4.341,0.00231,-0.000382,5241.571,-0.000218,9186.49,-0.000118,16942.98,-8.11e-05,24647.48,-6.18e-05,32376.5,-4.99e-05,40110.14,85145.87,1421.149,-1.836,0.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,UU456,5,4,7/11/24,18:36:50,0.00808,61.904,0.00453,110.498,0.00241,207.276,0.00164,304.077,0.00125,400.975,0.001,497.83,1065.403,13.552,-1.399,0.7,5.21e-06,-0.0014,1431.916,-0.000978,2045.389,-0.00063,3173.979,-0.000467,4287.273,-0.000377,5306.954,-0.000312,6415.706,12104.93,934.045,-8.488,4.244,0.00218,-0.000394,5073.94,-0.000227,8814.533,-0.000124,16184.77,-8.48e-05,23575.9,-6.45e-05,30997.9,-5.2e-05,38479.74,81558.94,1367.135,-1.844,0.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,UU456,5,5,7/11/24,18:36:50,0.00788,63.426,0.00446,112.073,0.00238,210.341,0.00162,308.474,0.00123,406.016,0.000993,503.539,1076.484,14.501,-1.482,0.741,5.91e-06,-0.0014,1431.619,-0.000975,2052.084,-0.000627,3189.66,-0.000467,4281.775,-0.000373,5362.707,-0.000312,6413.401,12142.55,936.882,-8.487,4.244,0.00219,-0.000392,5099.27,-0.000225,8884.861,-0.000123,16283.73,-8.43e-05,23729.18,-6.4e-05,31260.99,-5.16e-05,38779.68,82238.67,1359.328,-1.818,0.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,UU456,6,1,7/11/24,18:55:14,0.00776,64.397,0.0044,113.722,0.00235,212.901,0.00161,311.482,0.00122,410.055,0.000983,508.53,1085.821,15.178,-1.538,0.769,6.42e-06,-0.00136,1470.156,-0.000948,2110.054,-0.000616,3245.22,-0.000461,4343.351,-0.000369,5415.08,-0.000309,6480.461,12184.08,982.641,-8.871,4.436,0.0024,-0.000374,5348.28,-0.000215,9310.641,-0.000117,17035.2,-8.08e-05,24747.15,-6.16e-05,32468.06,-4.97e-05,40205.69,85094.97,1534.745,-1.984,0.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,UU456,6,2,7/11/24,18:55:14,0.00786,63.638,0.00442,113.132,0.00236,212.149,0.00161,310.632,0.00122,409.273,0.000985,507.808,1085.638,14.478,-1.467,0.733,5.84e-06,-0.00139,1439.636,-0.000968,2065.186,-0.000622,3218.233,-0.000464,4306.224,-0.000372,5383.044,-0.000311,6431.427,12163.11,950.804,-8.599,4.299,0.00225,-0.000374,5353.534,-0.000217,9227.178,-0.000119,16814.92,-8.19e-05,24431.39,-6.23e-05,32082.9,-5.03e-05,39742.0,83975.23,1553.864,-2.035,1.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,UU456,6,3,7/11/24,18:55:14,0.00768,65.083,0.00436,114.57,0.00235,213.002,0.0016,311.822,0.00122,410.759,0.000982,509.136,1085.657,15.764,-1.597,0.799,6.92e-06,-0.00139,1438.425,-0.000969,2063.343,-0.000626,3196.665,-0.000466,4289.36,-0.000373,5359.688,-0.000311,6435.441,12154.17,942.766,-8.532,4.266,0.00221,-0.000381,5253.425,-0.000217,9222.157,-0.000118,17002.32,-8.08e-05,24744.15,-6.16e-05,32493.06,-4.97e-05,40247.68,85451.23,1425.706,-1.835,0.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,UU456,6,4,7/11/24,18:55:14,0.00814,61.449,0.00453,110.371,0.00241,207.409,0.00164,305.018,0.00124,402.33,0.001,499.625,1070.99,12.847,-1.319,0.66,4.66e-06,-0.0014,1425.385,-0.00098,2041.241,-0.00063,3176.247,-0.000469,4261.149,-0.000407,4910.687,-0.000314,6367.358,11620.17,968.033,-9.164,4.582,0.00244,-0.000386,5182.878,-0.000222,8994.909,-0.000122,16417.4,-8.39e-05,23848.93,-6.39e-05,31320.62,-5.15e-05,38815.28,82089.61,1484.71,-1.99,0.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,UU456,6,5,7/11/24,18:55:14,0.00787,63.573,0.00444,112.519,0.00237,211.383,0.00162,309.559,0.00123,407.677,0.000989,505.541,1080.841,14.541,-1.48,0.74,5.92e-06,-0.00139,1436.462,-0.000975,2051.459,-0.000629,3181.471,-0.000468,4274.545,-0.000374,5342.751,-0.000313,6390.144,12076.13,943.41,-8.593,4.297,0.00223,-0.00039,5134.551,-0.000222,8998.105,-0.000121,16557.11,-8.27e-05,24180.73,-6.28e-05,31834.11,-5.07e-05,39475.53,83879.98,1330.923,-1.745,0.873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,UU456,7,1,7/11/24,19:28:14,0.00746,67.06,0.00428,116.876,0.00231,216.196,0.00159,315.328,0.00121,413.935,0.000976,512.219,1088.389,17.996,-1.819,0.909,9e-06,-0.00134,1498.52,-0.000944,2117.675,-0.000615,3252.572,-0.00046,4352.785,-0.000368,5437.634,-0.000308,6485.841,12164.87,1000.6,-9.048,4.524,0.00249,-0.000382,5237.426,-0.000219,9121.009,-0.00012,16694.21,-8.24e-05,24267.02,-6.28e-05,31860.68,-5.07e-05,39437.39,83513.03,1490.047,-1.963,0.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,UU456,7,2,7/11/24,19:28:14,0.00751,66.541,0.00432,115.888,0.00233,214.361,0.0016,313.028,0.00122,411.272,0.000981,509.797,1083.422,17.375,-1.764,0.882,8.43e-06,-0.00141,1422.384,-0.000982,2036.757,-0.000633,3158.001,-0.00047,4256.17,-0.000376,5326.289,-0.000313,6387.858,12097.7,923.451,-8.397,4.198,0.00213,-0.000388,5157.377,-0.000223,8952.552,-0.000122,16453.73,-8.35e-05,23951.69,-6.36e-05,31449.01,-5.13e-05,38985.98,82622.16,1421.367,-1.892,0.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,UU456,7,3,7/11/24,19:28:14,0.00731,68.415,0.00425,117.722,0.00231,216.87,0.00159,315.266,0.00121,413.568,0.000976,512.089,1084.473,19.302,-1.958,0.979,1.04e-05,-0.00136,1469.357,-0.000965,2073.536,-0.00062,3224.382,-0.000464,4314.147,-0.000373,5361.772,-0.000311,6432.481,12088.6,973.624,-8.859,4.43,0.00237,-0.000382,5237.192,-0.000219,9122.756,-0.000119,16758.14,-8.21e-05,24366.83,-6.25e-05,31983.16,-5.05e-05,39634.1,83983.85,1460.212,-1.913,0.956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,UU456,7,4,7/11/24,19:28:14,0.00775,64.545,0.00443,112.999,0.00238,210.216,0.00163,307.38,0.00124,404.263,0.000998,501.257,1067.675,16.035,-1.652,0.826,7.29e-06,-0.00141,1414.457,-0.000987,2027.174,-0.000637,3141.291,-0.000474,4217.221,-0.00038,5261.067,-0.000317,6303.024,11900.8,932.487,-8.619,4.31,0.00221,-0.000394,5081.456,-0.000226,8833.259,-0.000123,16210.35,-8.46e-05,23635.1,-6.42e-05,31136.3,-5.17e-05,38719.25,82093.69,1323.026,-1.773,0.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,UU456,7,5,7/11/24,19:28:14,0.00737,67.803,0.0043,116.306,0.00233,214.829,0.0016,312.977,0.00122,410.243,0.000984,508.085,1076.782,18.827,-1.923,0.962,9.96e-06,-0.00142,1404.721,-0.00099,2020.025,-0.000636,3145.916,-0.000474,4223.205,-0.000378,5286.614,-0.000316,6329.154,11995.36,917.845,-8.417,4.208,0.00212,-0.000393,5089.913,-0.000225,8886.914,-0.000123,16314.01,-8.42e-05,23754.66,-6.4e-05,31268.66,-5.15e-05,38818.37,82320.87,1355.84,-1.812,0.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,UU456,8,1,7/11/24,19:57:58,0.00775,64.549,0.00441,113.303,0.00236,211.531,0.00162,309.417,0.00123,406.762,0.000991,504.411,1075.453,15.76,-1.612,0.806,6.99e-06,-0.00136,1468.008,-0.00096,2083.49,-0.000619,3230.392,-0.000462,4329.773,-0.000371,5385.276,-0.00031,6459.051,12151.94,972.133,-8.8,4.4,0.00235,-0.000378,5297.592,-0.000218,9174.312,-0.000119,16805.03,-8.2e-05,24389.68,-6.25e-05,31983.42,-5.05e-05,39598.63,83759.07,1537.41,-2.019,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
